127.0.0.1 - - [24/Dec/2018:00:10:13 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Dec/2018:00:10:14 +0530] "GET /KBC/WEB-INF/classes/com/kbc/sms/SMSDemo.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Dec/2018:00:13:08 +0530] "GET /KBC/WEB-INF/classes/com/kbc/sms/SMSDemo.java HTTP/1.1" 404 1047
127.0.0.1 - - [24/Dec/2018:00:34:10 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:34:10 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:26 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:45:48 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:50:11 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
