127.0.0.1 - - [26/Dec/2019:22:00:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:00:29 +0530] "GET /HotelBillingSystem/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:00:37 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:00:37 +0530] "GET /HotelBillingSystem/M.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:00:50 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:01:05 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:11:40 +0530] "GET /HotelBillingSystem/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:11:45 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:12:13 +0530] "GET /HotelBillingSystem/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:12:23 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:12:23 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:18:22 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:18:22 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:16 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:16 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:16 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:17 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:17 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:17 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:17 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:19:17 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:20:31 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:20:31 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:20:32 +0530] "POST /HotelBillingSystem/LoginController HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:20:32 +0530] "GET /HotelBillingSystem/Breakfast.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:20:33 +0530] "GET /HotelBillingSystem/LoginController? HTTP/1.1" 405 1116
0:0:0:0:0:0:0:1 - - [26/Dec/2019:22:21:38 +0530] "GET /HotelBillingSystem/LoginController? HTTP/1.1" 405 1116
